date,campaign,country,language,impressions,clicks,cost,conversions,conversion_value
2025-08-01,Search - Brand - FR,FR,fr,1978,76,61.03,4,1544.32
2025-09-01,Search - Brand - FR,FR,fr,2141,103,78.28,7,2745.04
2025-10-01,Search - Brand - FR,FR,fr,1835,35,68.86,1,2321.65
2025-11-01,Search - Brand - FR,FR,fr,2277,79,67.31,3,1066.13
2025-12-01,Search - Brand - FR,FR,fr,3032,63,78.14,4,2103.79
2026-01-01,Search - Brand - FR,FR,fr,2180,86,72.45,5,1690.33
2026-02-01,Search - Brand - FR,FR,fr,1662,76,60.62,4,2615.81
2026-03-01,Search - Brand - FR,FR,fr,1665,32,60.0,1,1493.54
2026-04-01,Search - Brand - FR,FR,fr,1661,57,63.15,2,2405.12
2026-05-01,Search - Brand - FR,FR,fr,2622,129,75.19,4,1257.28
2026-06-01,Search - Brand - FR,FR,fr,1910,74,60.0,3,2189.4
2026-07-01,Search - Brand - FR,FR,fr,2393,114,60.0,4,1191.56
2025-08-01,Search - Generic - FR,FR,fr,4392,120,122.16,6,850.01
2025-09-01,Search - Generic - FR,FR,fr,3651,162,128.17,6,709.38
2025-10-01,Search - Generic - FR,FR,fr,4182,110,110.04,5,881.05
2025-11-01,Search - Generic - FR,FR,fr,4468,183,118.5,9,835.67
2025-12-01,Search - Generic - FR,FR,fr,4852,203,130.71,10,615.09
2026-01-01,Search - Generic - FR,FR,fr,4786,209,126.1,5,875.18
2026-02-01,Search - Generic - FR,FR,fr,2929,109,106.8,7,964.23
2026-03-01,Search - Generic - FR,FR,fr,4304,189,111.08,10,720.38
2026-04-01,Search - Generic - FR,FR,fr,3259,71,115.52,2,570.84
2026-05-01,Search - Generic - FR,FR,fr,4579,145,123.11,7,988.14
2026-06-01,Search - Generic - FR,FR,fr,4792,122,128.71,3,704.21
2026-07-01,Search - Generic - FR,FR,fr,4132,159,130.65,8,568.2
2025-08-01,Shopping - FR,FR,fr,3099,143,96.87,11,1383.35
2025-09-01,Shopping - FR,FR,fr,3810,152,111.44,11,651.13
2025-10-01,Shopping - FR,FR,fr,3924,155,110.06,6,1076.96
2025-11-01,Shopping - FR,FR,fr,4169,180,127.68,8,612.62
2025-12-01,Shopping - FR,FR,fr,3683,69,107.27,2,1039.89
2026-01-01,Shopping - FR,FR,fr,2932,58,88.57,4,1107.6
2026-02-01,Shopping - FR,FR,fr,3376,149,96.79,8,1347.76
2026-03-01,Shopping - FR,FR,fr,3574,100,123.49,3,1072.08
2026-04-01,Shopping - FR,FR,fr,3560,102,91.13,3,683.28
2026-05-01,Shopping - FR,FR,fr,2602,75,77.72,2,986.78
2026-06-01,Shopping - FR,FR,fr,2628,112,99.48,6,951.65
2026-07-01,Shopping - FR,FR,fr,4199,201,122.57,5,610.48
2025-08-01,Performance Max - FR,FR,fr,3270,106,92.38,8,1537.43
2025-09-01,Performance Max - FR,FR,fr,3479,155,87.48,7,937.54
2025-10-01,Performance Max - FR,FR,fr,3789,93,115.76,6,792.69
2025-11-01,Performance Max - FR,FR,fr,2667,83,80.64,6,1074.16
2025-12-01,Performance Max - FR,FR,fr,1716,69,60.71,5,1060.6
2026-01-01,Performance Max - FR,FR,fr,2648,115,78.43,2,1104.89
2026-02-01,Performance Max - FR,FR,fr,3553,115,116.67,4,884.27
2026-03-01,Performance Max - FR,FR,fr,3563,108,106.5,4,1418.25
2026-04-01,Performance Max - FR,FR,fr,3148,109,95.34,5,1306.5
2026-05-01,Performance Max - FR,FR,fr,2471,104,90.27,3,1324.19
2026-06-01,Performance Max - FR,FR,fr,3189,70,103.76,3,952.62
