date,keyword,landing_page,impressions,clicks,ctr,position,organic_sessions,organic_revenue
2025-08-01,4x4 suspension kit,/category/transmission,1920,222,0.1161,7.4,216,1093.05
2025-09-01,4x4 suspension kit,/category/transmission,657,37,0.0578,4.9,35,28.15
2025-10-01,4x4 suspension kit,/category/transmission,1474,160,0.109,7.2,151,4187.04
2025-11-01,4x4 suspension kit,/category/transmission,1245,62,0.0505,8.0,56,126.5
2025-12-01,4x4 suspension kit,/category/transmission,2275,215,0.0946,7.4,199,1807.56
2026-01-01,4x4 suspension kit,/category/transmission,2295,327,0.1425,5.6,330,2384.05
2026-02-01,4x4 suspension kit,/category/transmission,528,91,0.1731,7.0,91,2460.04
2026-03-01,4x4 suspension kit,/category/transmission,1865,375,0.2012,5.6,384,225.82
2026-04-01,4x4 suspension kit,/category/transmission,2184,467,0.2141,5.5,420,920.38
2026-05-01,4x4 suspension kit,/category/transmission,2964,676,0.2281,5.7,686,2743.02
2026-06-01,4x4 suspension kit,/category/transmission,2948,413,0.1401,7.6,382,559.13
2026-07-01,4x4 suspension kit,/category/transmission,3565,496,0.1394,5.1,496,978.09
2025-08-01,brake pads 4x4,/category/transmission,949,76,0.0807,16.5,79,494.05
2025-09-01,brake pads 4x4,/category/transmission,362,28,0.078,15.8,27,965.91
2025-10-01,brake pads 4x4,/category/transmission,2328,166,0.0714,16.2,170,3393.19
2025-11-01,brake pads 4x4,/category/transmission,1145,47,0.0413,13.1,42,941.73
2025-12-01,brake pads 4x4,/category/transmission,1689,111,0.0661,15.1,114,1258.96
2026-01-01,brake pads 4x4,/category/transmission,301,6,0.0215,13.5,5,802.58
2026-02-01,brake pads 4x4,/category/transmission,2242,53,0.0239,11.5,53,956.01
2026-03-01,brake pads 4x4,/category/transmission,2375,238,0.1004,13.0,245,23.71
2026-04-01,brake pads 4x4,/category/transmission,2807,291,0.104,11.4,292,517.58
2026-05-01,brake pads 4x4,/category/transmission,891,74,0.0832,10.7,72,889.83
2026-06-01,brake pads 4x4,/category/transmission,2767,363,0.1314,9.9,348,1558.04
2026-07-01,brake pads 4x4,/category/transmission,1059,108,0.1021,10.8,100,927.36
2025-08-01,off road led lights,/category/filters,2182,89,0.0411,20.4,82,639.32
2025-09-01,off road led lights,/category/filters,2370,128,0.0542,19.9,124,761.8
2025-10-01,off road led lights,/category/filters,1033,47,0.0463,17.8,47,430.33
2025-11-01,off road led lights,/category/filters,1890,97,0.0515,18.4,101,4006.96
2025-12-01,off road led lights,/category/filters,2294,125,0.0547,20.2,126,1143.99
2026-01-01,off road led lights,/category/filters,1202,30,0.0257,19.4,28,20.94
